100 3692
1 2 41
1 3 33
1 5 33
1 6 1
1 7 55
1 8 59
1 9 60
1 10 39
1 11 2
1 12 46
1 13 12
1 14 45
1 15 63
1 16 63
1 17 27
1 18 57
1 19 25
1 21 58
1 24 16
1 26 59
1 27 39
1 28 63
1 29 55
1 30 47
1 31 55
1 32 11
1 33 57
1 36 47
1 38 58
1 40 59
1 41 30
1 42 28
1 43 14
1 44 24
1 46 6
1 50 34
1 51 37
1 52 21
1 53 36
1 55 29
1 56 50
1 57 6
1 58 41
1 59 1
1 60 60
1 61 62
1 63 14
1 64 35
1 65 46
1 66 39
1 68 63
1 69 23
1 70 6
1 71 33
1 72 30
1 74 55
1 75 64
1 76 50
1 78 56
1 79 25
1 82 56
1 83 1
1 85 14
1 86 1
1 87 41
1 88 45
1 89 10
1 90 54
1 91 10
1 92 22
1 94 7
1 95 50
1 96 4
1 97 28
1 98 54
1 100 31
2 3 31
2 4 32
2 5 48
2 6 31
2 7 50
2 8 64
2 10 15
2 11 52
2 13 9
2 14 36
2 15 22
2 16 44
2 17 49
2 18 9
2 21 28
2 22 26
2 24 44
2 25 36
2 26 48
2 27 2
2 28 35
2 29 51
2 30 22
2 31 2
2 32 41
2 33 33
2 35 18
2 36 37
2 37 12
2 38 55
2 42 27
2 43 46
2 46 32
2 47 5
2 48 17
2 49 47
2 51 6
2 52 22
2 53 63
2 54 21
2 55 41
2 56 31
2 57 10
2 58 21
2 59 2
2 61 1
2 62 36
2 63 27
2 65 62
2 66 16
2 67 5
2 68 37
2 69 4
2 70 14
2 71 40
2 74 26
2 75 27
2 76 25
2 78 63
2 80 30
2 82 36
2 83 11
2 84 49
2 86 36
2 87 16
2 88 17
2 90 32
2 91 17
2 92 8
2 93 21
2 100 6
3 4 24
3 5 26
3 7 44
3 10 26
3 11 43
3 12 61
3 14 28
3 19 47
3 21 1
3 22 12
3 23 7
3 25 48
3 26 39
3 27 51
3 29 41
3 30 14
3 31 11
3 32 5
3 34 16
3 35 22
3 37 40
3 38 17
3 39 59
3 41 40
3 42 42
3 46 48
3 47 41
3 48 14
3 49 12
3 50 57
3 51 13
3 53 17
3 54 46
3 55 55
3 56 53
3 59 6
3 60 55
3 61 2
3 63 53
3 65 21
3 66 36
3 68 48
3 69 8
3 71 44
3 74 47
3 75 41
3 76 39
3 77 35
3 79 51
3 80 3
3 81 3
3 82 55
3 83 32
3 84 33
3 86 60
3 87 45
3 88 32
3 90 25
3 91 62
3 92 3
3 93 32
3 94 6
3 96 36
3 98 32
3 99 15
4 5 28
4 6 9
4 7 14
4 8 29
4 9 33
4 10 17
4 11 55
4 12 8
4 13 45
4 14 7
4 16 64
4 18 56
4 19 28
4 20 11
4 22 38
4 24 54
4 25 21
4 27 43
4 29 51
4 30 46
4 31 14
4 32 41
4 33 42
4 35 47
4 38 42
4 40 34
4 41 5
4 45 8
4 47 64
4 48 56
4 50 30
4 51 16
4 52 33
4 53 32
4 54 32
4 57 22
4 58 11
4 60 11
4 62 52
4 63 3
4 64 44
4 68 13
4 69 40
4 70 35
4 71 23
4 72 17
4 74 5
4 75 63
4 79 37
4 80 34
4 83 49
4 84 12
4 85 8
4 86 8
4 87 38
4 88 14
4 89 23
4 90 38
4 91 59
4 92 2
4 94 4
4 99 47
4 100 11
5 6 49
5 7 1
5 8 44
5 9 12
5 11 17
5 12 22
5 13 7
5 14 14
5 16 31
5 17 50
5 18 16
5 19 24
5 20 30
5 21 28
5 22 58
5 24 12
5 25 9
5 26 32
5 27 11
5 28 64
5 29 55
5 30 5
5 31 42
5 32 3
5 33 27
5 34 23
5 35 32
5 36 18
5 37 61
5 38 17
5 39 27
5 40 24
5 41 27
5 42 7
5 43 59
5 44 54
5 46 4
5 48 13
5 51 54
5 52 56
5 53 64
5 54 62
5 55 47
5 56 4
5 58 53
5 59 35
5 62 5
5 63 33
5 65 39
5 67 21
5 68 36
5 69 25
5 70 35
5 71 45
5 73 33
5 74 50
5 75 55
5 77 23
5 79 6
5 81 23
5 82 19
5 83 42
5 85 50
5 86 38
5 87 45
5 88 24
5 89 29
5 90 40
5 91 56
5 94 34
5 95 14
5 96 8
5 98 29
5 99 39
5 100 14
6 7 9
6 8 29
6 10 9
6 11 25
6 12 48
6 13 22
